Heavyweight,Heavyweight
Cruiserweight,Cruiserweight
Light+Heavyweight,Light Heavyweight
Super+Middleweight,Super Middleweight
Middleweight,Middleweight
Light+Middleweight,Light Middleweight
Welterweight,Welterweight
Light+Welterweight,Light Welterweight
Lightweight,Lightweight
Super+Featherweight,Super Featherweight
Featherweight,Featherweight
Super+Bantamweight,Super Bantamweight
Bantamweight,Bantamweight
Super+Flyweight,Super Flyweight
Flyweight,Flyweight
Light+Flyweight,Light Flyweight
Minimumweight,Minimumweight
