name,str
Floyd Mayweather Jr,400.21
Kell Brook,321.25
Keith Thurman,289.32
Sadam Ali,148.00
Timothy Bradley Jr,138.87
Sammy Vasquez,133.19
Konstantin Ponomarev,132.16
Shawn Porter,115.53
Felix Diaz,97.66
Teerachai Kratingdaenggym,87.22
Leonard Bundu,84.60
Dmitry Mikhaylenko,82.91
Frankie Gavin,77.39
Errol Spence Jr,75.72
Manny Pacquiao,69.48
Yuki Beppu,65.20
Jose Zepeda,64.20
Luis Carlos Abregu,63.69
Ray Robinson,62.16
Egidijus Kavaliauskas,61.90
Fredrick Lawson,60.51
Jeff Horn,60.23
Robert Guerrero,59.19
Amir Khan,56.42
Wale Omotoso,55.94
Alejandro Davila,50.32
Vyacheslav Senchenko,49.19
Devon Alexander,47.75
Chris van Heerden,47.61
Glenn Foot,46.84
Brandon Rios,46.65
Dusty Hernandez Harrison,46.21
Selcuk Aydin,44.96
Rafik Harutjunjan,44.08
Diego Gabriel Chaves,42.28
Mikael Zewski,42.04
Ionut Dan Ion,41.40
Jamal James,40.94
Joan Guzman,40.57
Ahmed El Mousaoui,39.58
Aslanbek Kozaev,38.87
Marcos Rene Maidana,38.31
Suyon Takayama,37.69
Carlos Ocampo,36.24
Chalermpol Singwancha,33.72
David Avanesyan,33.71
Roberto Garcia,33.52
Chris Algieri,33.40
Juan Manuel Marquez,33.30
Andre Berto,31.89
